Dose,Setting,Grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,pH,Liking,Temp,Flavor.intensity,Acidity,Mouthfeel,Tea.floral,Fruit,Citrus,Green.veg,Paper.wood,Burnt,Cereal,Nutty,Dark.chocolate,Caramel,Bitter,Astringent,Roasted,Sour,Thick.viscous,Sweet,Rubber,target_brew_temperature,target_total_dissolved_solids_percent,target_extraction_percent
145.0,6LG,3,2837.0,1.03,20.15248276,5.1,8,4,3,3,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,87,1.0,20
119.0,4LG,3,2884.1,0.96,23.26668908,5.11,8,3,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,87,1.0,24
215.3,12LG,5,2879.3,1.31,17.51919647,5.05,4,4,4,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,87,1.25,16
176.1,12LG,3,2869.2,1.27,20.69212947,5.02,4,3,4,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,87,1.25,20
150.0,13SM,4,2901.1,1.24,23.98242667,5.08,7,3,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,87,1.25,24
252.7,5LG,5,2790.5,1.48,16.34325287,5.01,7,4,3,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87,1.5,16
207.6,5LG,3,2777.0,1.47,19.66372832,5.1,8,3,3,3,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,87,1.5,20
176.1,4LG,3,2843.5,1.43,23.090318,4.98,7,3,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,87,1.5,24
176.1,6LG,5,2863.9,0.99,16.10028961,5.07,8,4,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,1.0,16
145.0,6LG,3,2872.8,1.04,20.60491034,5.08,4,3,2,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,90,1.0,20
121.1,14SM,3,2916.7,0.96,23.12165153,5.07,8,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,90,1.0,24
215.3,5SM,5,2819.9,1.27,16.63387366,5.05,3,5,1,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,90,1.25,16
176.1,12LG,3,2826.4,1.27,20.38346394,5.08,8,3,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90,1.25,20
149.0,4LG,3,2861.9,1.26,24.20130201,5.1,8,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,1.25,24
252.7,5LG,5,2782.1,1.59,17.50510091,4.98,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,90,1.5,16
