dose_grams,setting,grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,ph,brew temperature,score,temp,flavor,acidity,body,tea_floral,fruit,citrus,green_veg,paper_wood,burnt,cereal,nutty,dark_chocolate,caramel,bitter,astringent,roasted,sour,thick_viscous,sweet,rubber
176.1,1SM,3,2780.3,1.33,20.998291,5.03,84.6,4,3,0.3,0.4,0.3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
150.0,14SM,3,2820.8,1.22,22.942507,5.05,84.7,8,5,0.1,0.3,0.3,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
265.0,6LG,5,2727.0,1.57,16.156189,5.03,84.2,8,3,0.3,0.4,0.3,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
207.6,4SM,4,2762.3,1.49,19.825756,5.05,81.9,8,3,0.3,0.3,0.4,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
176.1,4LG,3,2769.4,1.43,22.488598,5.04,77.6,7,3,0.1,0.3,0.1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
176.1,1SM,5,2829.1,1.05,16.868568,5.05,81.1,7,3,0.3,0.3,0.3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
145.0,6LG,3,2837.0,1.03,20.152483,5.1,81.3,7,4,0.3,0.3,0.3,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
119.0,4LG,3,2884.1,0.96,23.26669,5.11,78.6,7,4,0.4,0.4,0.3,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
215.3,12LG,5,2879.3,1.31,17.519196,5.05,80.3,8,3,0.3,0.4,0.3,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
176.1,12LG,3,2869.2,1.27,20.69213,5.02,80.8,7,3,0.3,0.1,0.3,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
150.0,13SM,4,2901.1,1.24,23.982428,5.08,79.7,9,3,0.3,0.3,0.3,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
252.7,5LG,5,2790.5,1.48,16.343252,5.01,77.9,7,3,0.3,0.4,0.1,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
207.6,5LG,3,2777.0,1.47,19.663729,5.1,77.8,7,4,0.3,0.3,0.1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
176.1,4LG,3,2843.5,1.43,23.090319,4.98,78.7,4,3,0.4,0.3,0.4,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False
176.1,6LG,5,2863.9,0.99,16.10029,5.07,80.2,7,3,0.3,0.4,0.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
145.0,6LG,3,2872.8,1.04,20.60491,5.08,79.7,8,3,0.3,0.3,0.1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
121.1,14SM,3,2916.7,0.96,23.12165,5.07,82.7,6,3,0.3,0.1,0.1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
215.3,5SM,5,2819.9,1.27,16.633873,5.05,82.1,7,3,0.3,0.4,0.3,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
176.1,12LG,3,2826.4,1.27,20.383465,5.08,79.6,7,3,0.3,0.4,0.3,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
149.0,4LG,3,2861.9,1.26,24.201302,5.1,82.2,8,4,0.3,0.3,0.3,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
252.7,5LG,5,2782.1,1.59,17.5051,4.98,81.4,8,4,0.3,0.3,0.3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
207.6,5LG,3,2800.4,1.5,20.234104,5.04,82.6,7,4,0.3,0.3,0.3,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
176.1,4LG,3,2829.4,1.47,23.618502,5.03,81.1,7,3,0.3,0.3,0.3,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
176.1,2SM,5,2830.6,0.99,15.913083,5.04,85.8,8,3,0.3,0.3,0.3,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
140.3,3LG,3,2860.3,1.02,20.79477,5.07,86.0,7,5,0.4,0.0,0.3,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
120.0,4LG,3,2864.8,1.04,24.828266,5.07,83.3,9,3,0.3,0.3,0.3,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
215.3,5SM,5,2792.9,1.33,17.252935,5.06,81.8,6,3,0.1,0.4,0.1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
176.1,1SM,3,2780.3,1.33,20.998291,5.03,84.6,8,3,0.3,0.3,0.3,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
150.0,14SM,3,2820.8,1.22,22.942507,5.05,84.7,7,3,0.3,0.3,0.1,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
265.0,6LG,5,2727.0,1.57,16.156189,5.03,84.2,9,4,0.3,0.3,0.3,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
207.6,4SM,4,2762.3,1.49,19.825756,5.05,81.9,8,3,0.3,0.3,0.3,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
176.1,4LG,3,2769.4,1.43,22.488598,5.04,77.6,9,3,0.3,0.3,0.3,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
176.1,1SM,5,2829.1,1.05,16.868568,5.05,81.1,8,3,0.3,0.3,0.3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
145.0,6LG,3,2837.0,1.03,20.152483,5.1,81.3,4,5,0.1,0.3,0.1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
119.0,4LG,3,2884.1,0.96,23.26669,5.11,78.6,6,3,0.3,0.4,0.3,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
215.3,12LG,5,2879.3,1.31,17.519196,5.05,80.3,7,3,0.3,0.4,0.3,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
176.1,12LG,3,2869.2,1.27,20.69213,5.02,80.8,5,4,0.3,0.4,0.1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
150.0,13SM,4,2901.1,1.24,23.982428,5.08,79.7,5,4,0.3,0.3,0.3,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
252.7,5LG,5,2790.5,1.48,16.343252,5.01,77.9,5,4,0.0,0.1,0.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
207.6,5LG,3,2777.0,1.47,19.663729,5.1,77.8,7,3,0.3,0.3,0.1,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
176.1,4LG,3,2843.5,1.43,23.090319,4.98,78.7,7,4,0.3,0.3,0.3,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
176.1,6LG,5,2863.9,0.99,16.10029,5.07,80.2,7,4,0.3,0.4,0.3,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
145.0,6LG,3,2872.8,1.04,20.60491,5.08,79.7,7,4,0.1,0.3,0.3,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
121.1,14SM,3,2916.7,0.96,23.12165,5.07,82.7,4,4,0.0,0.3,0.1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
215.3,5SM,5,2819.9,1.27,16.633873,5.05,82.1,3,4,0.4,0.4,0.3,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
176.1,12LG,3,2826.4,1.27,20.383465,5.08,79.6,7,3,0.3,0.4,0.3,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
149.0,4LG,3,2861.9,1.26,24.201302,5.1,82.2,7,3,0.3,0.3,0.1,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
252.7,5LG,5,2782.1,1.59,17.5051,4.98,81.4,3,3,0.3,0.3,0.3,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
